,School Type,Year Founded,Religious Affiliation,Academic Calendar,Setting,Phone,School Website,Median starting salary of alumni ,Selectivity,Fall 2020 acceptance rate,Application deadline,SAT/ACT scores must be received by,Student-faculty ratio,4-year graduation rate,Total enrollment,Collegiate athletic association,Tuition and fees,Room and board,Students who have cars on campus,Health insurance offered,Score (out of 100),Average 6-year graduation rate (17.6%),6-year graduation rate of students who received a Pell Grant (2.5%),6-year graduation rate of students who did not receive a Pell Grant (2.5%),Classes with fewer than 20 students,Classes with 50 or more students,Student-faculty ratio (1%),Admission interview,Required standardized tests,Early decision deadline,Application fee,Common Application accepted,Deadline for housing deposit,Acceptance rate,Early decision acceptance rate,Accepting applications,Minimum credits to apply,Minimum required college GPA,Has guaranteed admission agreement with at least one other institution,Guaranteed admission agreement URL,Separate application form required,Conditional admission offered,Early decision or early action options available,TOEFL (paper),TOEFL (internet-based),Michigan Test,IELTS,SAT,ACT,Advance deposit required,TOEFL accepted instead of SAT or ACT,International student contact,Degrees offered,Combined-degree programs,Online bachelor's degree program offered,General education/core curriculum required,Awarded Pell Grants (2019-2020),Enrolled students who are veterans or active service members,Students living on- and off-campus,Air Force ROTC,Army ROTC,Navy ROTC,Net price for federal loan recipients (2018-2019) ,Go to this school's net price calculator,Institution is G.I. Bill certified,Institution participates in Yellow Ribbon Program,Typical total federal loan debt after graduation ,Typical total federal loan debt among those who did not graduate ,Typical monthly loan payment ,Undergraduates paying down their federal loan debt ,Average total indebtedness of 2020 graduating class,"Graduating students who have borrowed (any loan type, 2020)",Campus size (acres),Alcohol permitted on campus for students of legal age,Career services offered,Basic student services offered,Campus safety and security services offered,Computers available for student use in,On-campus library,Museums or special academic buildings on campus,Services for LD students,Services for physically disabled students,Accessibility of campus to physically disabled students,SATs on 1600 scale,Undergraduate men who are members of a fraternity,Undergraduate women who are members of a sorority,By major,Ten most popular majors for 2020 graduates,In-state tuition and fees,Out-of-state tuition and fees,Class Sizes,Classes with fewer than 20 students ,Classes with 50 or more students ,Class sizes,,Student participation in special academic programs,Fall 2020 acceptance rate ,Student-faculty ratio ,Student Gender Distribution,Average 6-year graduation rate (17.6%) ,Student-faculty ratio (1%) ,Acceptance rate ,Full-time faculty gender distribution,Part-time faculty gender distribution,Degree-seeking student gender distribution,Types of campus housing available,Total graduate enrollment,Median starting salary of alumni
0,"Private, Coed",1746,None,Semester,Suburban,(609) 258-3000,Website,"$71,300",Most selective,6%,Jan. 1,Jan. 1,4:1,90%,"7,852(fall 2020)",NCAA I,"$56,010(2021-22)","$18,180(2021-22)",N/A,Yes,100,97%,98%,98%,77.6%,9%,4:1,Recommended,Either SAT or ACT,N/A,$70,Yes,N/A,6%,N/A,Fall,No,N/A,No,N/A,No,No,Early action only,Considered,Required of some,N/A,Required of some,Required,Required,No,No,Alex Bustin Senior Associate Dean of Admission (609) 258-5287 abustin@princeton.edu,"Bachelor's, Master's, Doctorate - research/scholarship",N/A,No,Yes,22%,0.5%,N/A,Offered at cooperating institution,Offered on campus,Offered at cooperating institution,"$11,317",Website,Yes,Yes,"$10,750","$6,001",$103,N/A,"$9,623",17%,600,Yes,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringwomen's centerplacement serviceday carehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,"Art Museum with Permanent Collection, Museum of Natural History, Center for Energy and Environmental Studies, Plasma Physics Laboratory",Note-taking servicesLearning centerReadersExtended time for testsTutorsSubstitution of coursesTypist/scribeExams on tape or computerOther testing accommodationsAND 4 MORE ,Note-taking servicesTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Mostly,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Private, Coed",1754,None,Semester,Urban,(212) 854-1754,Website,"$67,800",Most selective,6%,Jan. 1,Feb. 1,6:1,86%,"23,123(fall 2020)",NCAA I,"$63,530(2021-22)","$15,450(2021-22)",N/A,Yes,97,96%,95%,97%,82.5%,9%,6:1,Neither required/recommended,Either SAT or ACT,Nov. 1,$85,Yes,N/A,6%,17%,Fall,24,N/A,No,N/A,No,No,Early decision only,Required,Required,N/A,Required,Required,Required,No,No,International Students and Scholars Office (212) 854-3587 isso@columbia.edu,"Certificate, Bachelor's, Post-bachelor's certificate, Master's, Doctorate - professional practice, Doctorate - other, Doctorate - research/scholarship",Combined Plan Program,N/A,Yes,23%,N/A,N/A,Offered at cooperating institution,Offered at cooperating institution,Offered on campus,"$23,306",Website,Yes,Yes,"$21,500","$12,500",$205,N/A,"$29,757",19%,36,Yes,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringplacement servicehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,Arthur Ross Architectural Gallery; LeRoy Neiman Gallery; Miriam and Ira D. Wallach Art Gallery; Miller Theatre; Lenfest Center for the Arts; Columbia Makerspace; Columbia Entrepreneurship Design Studio; St. Paul's Chapel,Reading machinesNote-taking servicesLearning centerExtended time for testsEarly syllabusPriority registrationPriority seatingSubstitution of coursesTypist/scribeExams on tape or computerOther testing accommodationsAND 6 MORE ,Note-taking servicesSpecial transportationTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Mostly,N/A,,,,,,,,,,,,,,,,,,,,,,,,
2,"Private, Coed",1636,None,Semester,Urban,(617) 495-1000,Website,"$69,000",Most selective,5%,Jan. 1,March 6,5:1,86%,"19,218(fall 2020)",NCAA I,"$55,587(2021-22)","$18,941(2021-22)",N/A,Yes,97,97%,97%,98%,76.3%,10%,5:1,Recommended,Either SAT or ACT,N/A,$75,Yes,N/A,5%,N/A,Fall,16,N/A,N/A,N/A,No,No,Early action only,Considered,Considered,N/A,N/A,Required,Required,No,No,Judy Partington International Admissions Administrator (617) 495-1551 intladm@fas.harvard.edu,"Bachelor's, Post-bachelor's certificate, Master's, Post-master's certificate, Doctorate - professional practice, Doctorate - research/scholarship",N/A,N/A,Yes,17%,N/A,N/A,Offered on campus,Offered on campus,Offered on campus,"$15,386",Website,Yes,Yes,"$13,750","$12,500",$131,N/A,"$18,197",20%,"5,076",Yes,on-campus job interviewsinternshipsresume assistancealumni networkinterview training,nonremedial tutoringwomen's centerplacement servicehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksStudent patrolsControlled dormitory access (key, security card, etc.)",N/A,Yes,N/A,ReadersExtended time for testsTypist/scribeExams on tape or computerOther testing accommodations,N/A,Mostly,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
3,"Private, Coed",1861,None,4-1-4,Urban,N/A,Website,"$82,700",Most selective,7%,Jan. 1,Feb. 15,3:1,87%,"11,254(fall 2020)",NCAA III,"$55,878(2021-22)","$18,100(2021-22)",9%,Yes,97,95%,94%,96%,70.1%,11%,3:1,Recommended,Either SAT or ACT,N/A,$75,No,N/A,7%,N/A,"Fall, Spring",No,N/A,No,N/A,No,No,Early action only,N/A,Required of some,N/A,N/A,Required of some,Required of some,No,No,Maura Tierney Associate Director of Admissions (617) 253-3400 admissions@mit.edu,"Bachelor's, Master's, Doctorate - research/scholarship",N/A,No,Yes,19%,N/A,,Offered on campus,Offered on campus,Offered on campus,"$16,636",Website,Yes,Yes,"$12,500","$5,500",$119,N/A,"$22,735",21%,168,Yes,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringplacement serviceday carehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,"Dedicated teaching laboratories in many departments are complemented by the facilities of numerous interdisciplinary research laboratories and centers including MIT.nano, Koch Institute for Integrative Cancer Research, MIT Media Lab, SENSEable City Lab, Nuclear Reactor Lab, and the Wright Brothers Wind Tunnel. Arts facilities include a Music and Theater Arts building, the List Visual Arts Center, the Berenice Abbott Photography Laboratory, the Lewis Music Library, performance and practice spaces",Reading machinesNote-taking servicesReadersExtended time for tests,Note-taking servicesTape recordersAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impaired,Partly,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Private, Coed",1701,None,Semester,City,(203) 432-4771,Website,"$65,900",Most selective,7%,Jan. 2,March 1,4:1,84%,"12,060(fall 2020)",NCAA I,"$59,950(2021-22)","$17,800(2021-22)",N/A,Yes,96,97%,94%,97%,76.9%,8%,4:1,Recommended,Neither SAT nor ACT,N/A,$80,Yes,N/A,7%,N/A,Fall,10,N/A,No,N/A,No,No,Early action only,Recommended,Recommended,N/A,Recommended,Required of some,Required of some,No,No,Keith Light Director of International Admissions (203) 432-9316 keith.light@yale.edu,"Certificate, Diploma, Bachelor's, Master's, Post-master's certificate, Doctorate - professional practice, Doctorate - other, Doctorate - research/scholarship",MusicOther- Joint BA/BS & MA/MS Degree requires department permission to pursue simultaneous degreePublic HealthForestry & Environmental Studies.,No,Yes,19%,0.4%,,Offered on campus,Offered at cooperating institution,Offered on campus,"$17,549",Website,Yes,Yes,"$13,060","$10,915",$125,N/A,"$14,884",14%,373,Yes,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterview training,nonremedial tutoringwomen's centerplacement servicehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,"Yale University Art Gallery, Yale Center for British Art, Peabody Museum of Natural History, Collection of Musical Instruments, Whitney Humanities Center, Yale School of Art Galleries, Yale School of Architecture Gallery, Beinecke Rare Book and Manuscript Library, Sterling Memorial Library",Reading machinesDiagnostic testing serviceNote-taking servicesReadersExtended time for testsTutorsPriority seatingOther testing accommodationsWaiver of foreign language degree requirementAND 4 MORE ,Note-taking servicesSpecial transportationTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Mostly,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
5,"Private, Coed",1885,None,Quarter,Suburban,(650) 723-2300,Website,"$73,900",Most selective,5%,Jan. 2,Jan. 15,5:1,74%,"15,961(fall 2020)",NCAA I,"$56,169(2021-22)","$17,860(2021-22)",N/A,Yes,95,94%,95%,95%,68.6%,12%,5:1,Neither required/recommended,Neither SAT nor ACT,N/A,$90,Yes,N/A,5%,N/A,Fall,No,N/A,No,N/A,No,No,Early action only,Recommended,Recommended,N/A,Considered,Considered,Considered,No,No,intl.admission@stanford.edu,"Bachelor's, Master's, Doctorate - professional practice, Doctorate - research/scholarship",+ Several joint graduate degrees+ Many coterminal degrees: BA or BS combined with MA or MS and earned in five years.,No,Yes,17%,2.4%,,Offered at cooperating institution,Offered at cooperating institution,Offered at cooperating institution,"$11,496",Website,Yes,Yes,"$11,750","$8,037",$112,N/A,"$24,337",16%,"8,180",Yes,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringwomen's centerplacement serviceday carehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,"The Hopkins Marine Station; the Anderson Collection at Stanford; the Iris & Gerald Cantor Center for Visual Arts; the Thomas Welton Stanford Art Gallery; the McMurtry Building with four galleries; the SLAC National Accelerator Laboratory; the Hoover Institution on War, Revolution and Peace; the James H. Clark Center; the Bing Concert Hall; and the Jasper Ridge Biological Preserve. There are 18 independent laboratories, centers and institutes at Stanford.",Note-taking servicesOral testsLearning centerExtended time for testsExams on tape or computerOther testing accommodations,Note-taking servicesSpecial transportationTape recordersSpecial housingAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Mostly,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
6,"Private, Coed",1890,None,Quarter,Urban,(773) 702-1234,Website,"$59,700",Most selective,7%,N/A,N/A,5:1,91%,"15,278(fall 2020)",NCAA III,"$60,963(2021-22)","$17,685(2021-22)",N/A,Yes,95,95%,94%,96%,78.9%,6%,5:1,Neither required/recommended,Neither SAT nor ACT,Nov. 1,$75,Yes,N/A,7%,N/A,Fall,No,N/A,No,N/A,No,No,Both early decision and early action,Considered,Considered,N/A,Considered,Considered,Considered,No,No,International Admissions Counselors International Admissions Team (773) 702-8650 collegeadmissions@uchicago.edu,"Bachelor's, Post-bachelor's certificate, Master's, Doctorate - professional practice, Doctorate - research/scholarship",Professional Option Program in MedicineJoint BA/MAT in Education and Teaching CertificationJoint B.A/M.A. in Social Service AdministrationJoint BA/MPP in Public Policy StudiesJoint B.A/B.S/M.A/M.S. (various departments),No,Yes,12%,0.5%,N/A,Offered at cooperating institution,Offered at cooperating institution,Not offered,"$27,315",Website,Yes,Yes,"$16,378","$10,692",$156,N/A,"$26,560",13%,217,Yes,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringhealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,Smart Museum (modern art); Oriental Institute (art and artifacts); Renaissance Society (contemporary art); Logan Center (contemporary art); Neubauer Collegium for Culture and Society (gallery exhibitions); The Renaissance Society (visual arts),Reading machinesNote-taking servicesOral testsExtended time for testsEarly syllabusPriority registrationPriority seatingSubstitution of coursesTypist/scribeExams on tape or computerOther testing accommodationsAND 6 MORE ,Note-taking servicesSpecial transportationTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Mostly,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
7,"Private, Coed",1740,None,Semester,Urban,(215) 898-5000,Website,"$68,200",Most selective,9%,Jan. 5,Dec. 1,6:1,86%,"22,436(fall 2020)",NCAA I,"$61,710(2021-22)","$17,304(2021-22)",N/A,Yes,94,96%,92%,96%,69.6%,9%,6:1,Neither required/recommended,Neither SAT nor ACT,Nov. 1,$75,Yes,N/A,9%,19%,Fall,24,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,"Certificate, Associate, terminal-associate, Bachelor's, Post-bachelor's certificate, Master's, Post-master's certificate, Doctorate - professional practice, Doctorate - research/scholarship",BA/DDS Seven-Year Accelerated Program in Dental MedicineBAS/JD: Bachelor of Applied Science and Juris DoctorBA/MS Ed: Bachelor of Arts and Master of EducationBAS/MS Ed: Bachelor of Applied Science in Math/Chem or Math/Physand Master of Ed in secondary educBSN/JD: Bachelor of Nursing and Juris DoctorBA/JD: Bachelor of Arts and Juris DoctorBS/JD: Bachelor of Science in Economonics and Juris DoctorBSE/JD Bachelor Science in Engineering and Juris DoctorAND 4 MORE ,No,Yes,14%,N/A,N/A,Offered at cooperating institution,Offered at cooperating institution,Offered on campus,"$25,802",Website,Yes,Yes,"$18,250","$12,500",$174,N/A,"$23,876",20%,299,Yes,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringwomen's centerplacement serviceday carehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,"Museum of Archaeology and Anthropology, Institute of Contemporary Art, 
Morris Arboretum, Annenberg Center Theater, Astronomical observatory, Large Animal Research Center, Equine Sports Medicine and Imaging Center, Womens center, Undergraduate Research Center, Wind Tunnel, Cyclotron Facility 
Arthur Ross Gallery, Kroiz Gallery in Architectural Archives, Kelly Writers House, ENIAC Museum, Center for Advanced Judaic Studies, Laboratory for Research on the Structure of Matter",Reading machinesVideotaped classesNote-taking servicesOral testsLearning centerReadersExtended time for testsExams on tape or computerOther testing accommodationsAND 4 MORE ,Note-taking servicesSpecial transportationTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Fully,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Private, Coed",1891,None,Quarter,Suburban,(626) 395-6811,Website,"$82,900",Most selective,7%,Jan. 3,Dec. 31,3:1,86%,"2,240(fall 2020)",NCAA III,"$58,680(2021-22)","$17,748(2021-22)",N/A,Yes,93,92%,92%,91%,66.7%,9%,3:1,Neither required/recommended,Neither SAT nor ACT,N/A,$75,Yes,N/A,7%,N/A,Fall,No,N/A,No,N/A,No,No,Early action only,N/A,Required of some,N/A,N/A,Required,Required,No,No,Laura Flower Kim Associate Director Intl. Student Programs (626) 395-6330 laura.flowerkim@caltech.edu,"Bachelor's, Master's, Post-master's certificate, Doctorate - research/scholarship",Bowdoin College; Bryn Mawr; Grinnell College; Haverford College; Mt. Holyoke College;Oberlin College; Occidental College; Ohio Wesleyan University; Pomona College;Reed College; Spelman College; Wesleyan University; Whitman College,No,Yes,11%,N/A,,Offered at cooperating institution,Offered at cooperating institution,Not offered,"$24,274",Website,Yes,Yes,"$11,242","$5,500",$107,N/A,"$16,950",28%,124,Yes,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringplacement servicehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,"The Caltech Archives is an extensive repository of historical documents, scientific papers and records, artifacts, and rare photographs chronicling the scientific achievements of the Institute for the past 100 years and earlier. The Institute also houses Einstein Papers Project, the collected papers of Albert Einstein (over 40,000 documents).",Diagnostic testing serviceUntimed testsNote-taking servicesOral testsReadersExtended time for testsTutorsPriority seatingTypist/scribeTake home examsOther testing accommodationsAND 6 MORE ,Note-taking servicesSpecial transportationTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Mostly,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Private, Coed",1838,None,Semester,Suburban,(919) 684-2724,Website,"$68,900",Most selective,8%,Jan. 3,Jan. 3,6:1,90%,"16,172(fall 2020)",NCAA I,"$60,489(2021-22)","$17,484(2021-22)",N/A,Yes,93,95%,94%,96%,75.4%,7%,6:1,Recommended,Either SAT or ACT,Nov. 1,$85,Yes,N/A,8%,N/A,Fall,10,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,Required,N/A,No,No,Anne Sjostrom Associate Director of Admissions (919) 684-0152,"Bachelor's, Post-bachelor's certificate, Master's, Post-master's certificate, Doctorate - professional practice, Doctorate - research/scholarship",N/A,No,Yes,13%,N/A,N/A,Offered on campus,Offered on campus,Offered on campus,"$27,020",Website,Yes,Yes,"$12,582","$5,500",$120,N/A,"$24,219",30%,N/A,Yes,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,women's centerplacement servicehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksStudent patrolsControlled dormitory access (key, security card, etc.)",N/A,Yes,Nasher Art Museum,N/A,Tape recordersTutorsAdaptive equipmentReader servicesBraille services,Mostly,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
